State  Recv-Q Send-Q               Local Address:Port  Peer Address:Port
LISTEN 0      8                        127.0.0.1:5641       0.0.0.0:*   
LISTEN 0      1024                       0.0.0.0:43146      0.0.0.0:*   
LISTEN 0      128                      127.0.0.1:7048       0.0.0.0:*   
LISTEN 0      128                      127.0.0.1:7047       0.0.0.0:*   
LISTEN 0      4096                     127.0.0.1:631        0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8765       0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8767       0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8769       0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8919       0.0.0.0:*   
LISTEN 0      16                   192.168.50.39:1119       0.0.0.0:*   
LISTEN 0      4096                    127.0.0.54:53         0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:12152      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:12151      0.0.0.0:*   
LISTEN 0      4                        127.0.0.1:12123      0.0.0.0:*   
LISTEN 0      4                        127.0.0.1:12122      0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:12113      0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:12112      0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:12114      0.0.0.0:*   
LISTEN 0      16                       127.0.0.1:12104      0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:12111      0.0.0.0:*   
LISTEN 0      16                       127.0.0.1:12101      0.0.0.0:*   
LISTEN 0      16                       127.0.0.1:12103      0.0.0.0:*   
LISTEN 0      16                       127.0.0.1:12102      0.0.0.0:*   
LISTEN 0      16                       127.0.0.1:11919      0.0.0.0:*   
LISTEN 0      64                       127.0.0.1:21320      0.0.0.0:*   
LISTEN 0      4096                 100.95.240.73:443        0.0.0.0:*   
LISTEN 0      128                      127.0.0.1:18791      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:37755      0.0.0.0:*   
LISTEN 0      16                       127.0.0.1:37787      0.0.0.0:*   
LISTEN 0      1024                       0.0.0.0:12131      0.0.0.0:*   
LISTEN 0      1024                       0.0.0.0:12132      0.0.0.0:*   
LISTEN 0      128                        0.0.0.0:12142      0.0.0.0:*   
LISTEN 0      128                        0.0.0.0:12141      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:38051      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:39039      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:40759      0.0.0.0:*   
LISTEN 0      128                        0.0.0.0:8787       0.0.0.0:*   
LISTEN 4      4                        127.0.0.1:40193      0.0.0.0:*   
LISTEN 4      4                        127.0.0.1:40049      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:33641      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:33731      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:33381      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:35549      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:36303      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:45191      0.0.0.0:*   
LISTEN 0      4096                       0.0.0.0:22         0.0.0.0:*   
LISTEN 0      511                        0.0.0.0:80         0.0.0.0:*   
LISTEN 0      511                        0.0.0.0:8091       0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:42985      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:42327      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:42167      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:43163      0.0.0.0:*   
LISTEN 0      128                      127.0.0.1:43147      0.0.0.0:*   
LISTEN 0      128                      127.0.0.1:43259      0.0.0.0:*   
LISTEN 0      8                        127.0.0.1:44673      0.0.0.0:*   
LISTEN 0      4096                     127.0.0.1:44395      0.0.0.0:*   
LISTEN 3      4                        127.0.0.1:49233      0.0.0.0:*   
LISTEN 0      4096                 127.0.0.53%lo:53         0.0.0.0:*   
LISTEN 4      4                        127.0.0.1:52251      0.0.0.0:*   
LISTEN 0      16                       127.0.0.1:59655      0.0.0.0:*   
LISTEN 0      4096   [fd7a:115c:a1e0::2f39:f04a]:443           [::]:*   
LISTEN 0      4096                         [::1]:631           [::]:*   
LISTEN 0      4096                          [::]:22            [::]:*   
LISTEN 0      511                           [::]:80            [::]:*   
