State  Recv-Q Send-Q               Local Address:Port  Peer Address:Port
LISTEN 0      8                        127.0.0.1:5641       0.0.0.0:*   
LISTEN 0      1024                       0.0.0.0:43146      0.0.0.0:*   
LISTEN 0      128                      127.0.0.1:7048       0.0.0.0:*   
LISTEN 0      128                      127.0.0.1:7047       0.0.0.0:*   
LISTEN 0      4096                     127.0.0.1:631        0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8765       0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8767       0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8769       0.0.0.0:*   
LISTEN 0      16                   192.168.50.39:1119       0.0.0.0:*   
LISTEN 0      4096                    127.0.0.54:53         0.0.0.0:*   
LISTEN 0      64                       127.0.0.1:21320      0.0.0.0:*   
LISTEN 0      4096                 100.95.240.73:443        0.0.0.0:*   
LISTEN 0      128                      127.0.0.1:18791      0.0.0.0:*   
LISTEN 0      16                       127.0.0.1:38211      0.0.0.0:*   
LISTEN 0      128                        0.0.0.0:8787       0.0.0.0:*   
LISTEN 0      16                       127.0.0.1:40339      0.0.0.0:*   
LISTEN 0      4                        127.0.0.1:33973      0.0.0.0:*   
LISTEN 0      16                       127.0.0.1:35907      0.0.0.0:*   
LISTEN 0      4096                       0.0.0.0:22         0.0.0.0:*   
LISTEN 0      511                        0.0.0.0:80         0.0.0.0:*   
LISTEN 0      511                        0.0.0.0:8091       0.0.0.0:*   
LISTEN 0      128                      127.0.0.1:43147      0.0.0.0:*   
LISTEN 0      4096                     127.0.0.1:44395      0.0.0.0:*   
LISTEN 0      4096                 127.0.0.53%lo:53         0.0.0.0:*   
LISTEN 0      4096   [fd7a:115c:a1e0::2f39:f04a]:443           [::]:*   
LISTEN 0      4096                         [::1]:631           [::]:*   
LISTEN 0      4096                          [::]:22            [::]:*   
LISTEN 0      511                           [::]:80            [::]:*   
